,tot_credit_debt,avg_card_debt,credit_age,credit_good_age,card_age,non_mtg_acc_past_due_12_months_num,non_mtg_acc_past_due_6_months_num,mortgages_past_due_6_months_num,credit_past_due_amount,inq_12_month_num,card_inq_24_month_num,card_open_36_month_num,auto_open_ 36_month_num,uti_card,uti_50plus_pct,uti_max_credit_line,uti_card_50plus_pct,ind_acc_XYZ,rep_income,States,Default_ind
0,80826.71,15872.99,300.0,114.0,292.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.3659018497326923,0.4755942227368624,0.4105038781705022,0.48959397997021037,0.0,69000.0,0,0.0
1,96052.6,12178.02,281.0,102.0,232.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.5427861551477439,0.5431582876237978,0.5351474315847421,0.5873505718519796,0.0,61000.0,1,0.0
3,70727.84,8416.8,227.0,93.0,223.0,2.0,1.0,1.0,11013.96,0.0,1.0,1.0,0.0,0.4487206459395717,0.4228094519351444,0.4913645225595249,0.4668100389936931,0.0,79000.0,6,1.0
5,89198.22,15193.09,319.0,147.0,279.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.1839181033079338,0.3093410822091262,0.254743666606002,0.1930598879439065,0.0,76000.0,3,0.0
6,108936.89,14262.34,271.0,100.0,247.0,2.0,1.0,1.0,6087.16,0.0,4.0,0.0,0.0,0.4881445059506306,0.4480822818959299,0.4143828100595349,0.4803573475561815,0.0,68000.0,0,1.0
7,84868.71,10636.64,296.0,142.0,266.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.3615160977559005,0.4349641909324542,0.4369181506961022,0.3352621536702357,1.0,74000.0,0,0.0
8,108476.1,14219.19,266.0,142.0,244.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4948218177164523,0.518860911564272,0.4440817463376794,0.3766329289776548,1.0,86000.0,2,0.0
9,61573.08,8281.7,348.0,160.0,293.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.6998274300234776,0.5255325653599872,0.6650714860246666,0.48959397997021037,0.0,59000.0,6,0.0
10,71208.55,9976.43,339.0,157.0,329.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.5097089170731941,0.5721159345572487,0.544313180183,0.5554878624786339,0.0,91000.0,3,0.0
11,50683.58,9893.18,276.0,168.0,260.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.425228200830074,0.4456037985282235,0.4424571321514483,0.4655280080301208,1.0,64000.0,1,0.0
12,64680.93,11596.96,346.0,157.0,288.0,2.0,1.0,1.0,2997.77,0.0,1.0,0.0,0.0,0.6609463268535826,0.6002665725333397,0.69758612244483,0.639849833916897,0.0,94000.0,0,0.0
13,75920.98,10777.89,188.0,118.0,171.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.3977012819210088,0.4289957339621996,0.5398556250012048,0.3776762182308881,0.0,52000.0,1,0.0
14,98886.02,13283.52,398.0,227.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4413731223138883,0.4986374017310049,0.3425265356846023,0.4925204238361181,0.0,77000.0,0,0.0
15,59794.42,10215.31,243.0,103.0,225.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.4199523018614256,0.4699912368280298,0.3951892312022668,0.48959397997021037,0.0,73000.0,1,0.0
16,134932.62,13765.9,282.0,135.0,252.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.3337196164492952,0.3526651502240926,0.4122299346880682,0.4235722191636669,1.0,69000.0,2,0.0
17,104616.32,16476.1,365.0,158.0,362.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.345176119644078,0.4578721559349114,0.3217137941274223,0.312725866873067,0.0,107000.0,4,0.0
18,63255.47,8693.81,256.0,153.0,243.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.6344922962520548,0.6307793798065596,0.6203004935720305,0.5680047277147201,0.0,88000.0,6,0.0
19,78976.05,11990.29,353.0,148.0,310.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.5073983986086121,0.5188295150153043,0.6517939570036647,0.4868399575436662,0.0,73000.0,5,0.0
20,84375.6,11661.71,271.0,132.0,243.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.5081262981793564,0.4878387377011849,0.5676571190272206,0.4246669570244256,1.0,86000.0,1,0.0
21,119500.77,18472.18,236.0,168.0,214.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5609135303295697,0.5150281940629989,0.5806891020729661,0.5320465212862922,1.0,65000.0,4,0.0
22,55305.34,10686.08,254.0,144.0,235.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6846417379608118,0.6236335062098882,0.6165918628161149,0.6179215392371017,0.0,72000.0,6,0.0
23,88038.82,12298.26,237.0,91.0,236.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5162338275104502,0.4193259145445951,0.4405127213978573,0.4930295229935683,0.0,77000.0,2,0.0
24,73403.54,8454.0,304.0,159.0,245.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.6721255347571232,0.619841187258747,0.5390974514758562,0.7372995312225763,1.0,73000.0,6,1.0
25,100057.28,12492.69,270.0,118.0,269.0,2.0,0.0,1.0,6518.46,2.0,3.0,1.0,0.0,0.6746626904335463,0.7246471224943195,0.7279014718484336,0.6550479634970593,0.0,102000.0,3,1.0
26,108027.3,14318.04,183.0,120.0,172.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.4980392225526606,0.543679629964421,0.586793089289166,0.4288618406454386,0.0,90000.0,3,0.0
